msid,transformer,time,success
00569,cassius,34.8s,true
00569,jats-xslt-stylesheets,9.601s,false
00569,pandoc,11.0s,true
00569,jats2latex,5.047s,false
00569,peerj-jats-conversion,11.4s,true
00666,cassius,42.9s,false
00666,jats-xslt-stylesheets,10.4s,false
00666,pandoc,11.5s,true
00666,jats2latex,5.815s,false
00666,peerj-jats-conversion,12.0s,true
05378,cassius,26.3s,true
05378,jats-xslt-stylesheets,12.9s,true
05378,pandoc,11.4s,true
05378,jats2latex,5.580s,false
05378,peerj-jats-conversion,10.1s,true
09560,cassius,1m8s,true
09560,jats-xslt-stylesheets,10.6s,false
09560,pandoc,11.5s,true
09560,jats2latex,5.377s,false
09560,peerj-jats-conversion,14.2s,true
12059,cassius,38.7s,false
12059,jats-xslt-stylesheets,12.3s,false
12059,pandoc,12.7s,true
12059,jats2latex,9.396s,false
12059,peerj-jats-conversion,13.1s,true
19285,cassius,31.2s,false
19285,jats-xslt-stylesheets,9.471s,false
19285,pandoc,10.9s,true
19285,jats2latex,5.273s,false
19285,peerj-jats-conversion,10.2s,false
20317,cassius,25.1s,true
20317,jats-xslt-stylesheets,9.473s,false
20317,pandoc,9.876s,true
20317,jats2latex,5.667s,false
20317,peerj-jats-conversion,10.1s,true
31543,cassius,27.7s,true
31543,jats-xslt-stylesheets,10.6s,false
31543,pandoc,11.8s,true
31543,jats2latex,5.811s,false
31543,peerj-jats-conversion,11.5s,true
